Company,address,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items
Company,Address,TIF District,,,,Work Items
Damen Lake Property LLC (Standard Equipment Co) ,2033 W Walnut,Kinzie Industrial Corridor Industrial Corridor,2001-02-01T00:00:00,83013,41506.5,"Truck dock, Skylights, Roof"
Northern Greenhouses Inc ,1756 W Lake,Kinzie Industrial Corridor Industrial Corridor,2001-02-08T00:00:00,125000,50000,New Roof
Roger Berman Co ,832 W Fulton Market,Kinzie Industrial Corridor Industrial Corridor,2001-10-02T00:00:00,98336.7,49168.35,HVAC / Elevator renovate / tuckpointing.
Moylan Insurance Agency,3301-05 W 111th ,111th/Kedzie,2001-10-18T00:00:00,21718.75,10859.38,Roof / Sign removal / Awnings
Mt Greenwood Local Redevelopment Corp,3255-3257 W 111th,111th/Kedzie,2001-11-08T00:00:00,33149.75,16574.87,Window-Door Replace / masonry / sign removal / awnings / exterior lighting / HVAC
Consolidated Chemical Works ,400 N Ashland,Kinzie Industrial Corridor Industrial Corridor,2001-11-15T00:00:00,27528,13764,Tuckpointing and roof repair / replacement.
Marco Lighting Components Inc ,457 N Leavitt,Kinzie Industrial Corridor Industrial Corridor,2002-01-04T00:00:00,104552,50000,Gutter-flashing. Roof / Tuckpointing / Electrical / Emergency lighting
Value Transmission Inc,5434 W Higgins,Jefferson Park ,2002-01-04T00:00:00,96771,48385.5,"Tuckpointing, Facade, Window replacement, Front door, Roof, Sign"
American Soda Fountain Inc,455 N Oakley Blvd,Kinzie Industrial Corridor Industrial Corridor,2002-02-25T00:00:00,46118,19061,Roof repair/ tuckpointing/ sign
Building Blocks Inc,1621 W Carroll,Kinzie Industrial Corridor Industrial Corridor,2002-02-25T00:00:00,38633.4,19316.7,Tuckpointing/ Renovation of washroom
CLOSED,11125 S Kedzie,111th/Kedzie,2002-05-23T00:00:00,88864,47634,Masonry / Floor Replacement / Plumbing / HVAC / Roof / Retail space remodel
Goose Island Beer Co ,1800 W Fulton,Kinzie Industrial Corridor Industrial Corridor,2002-05-28T00:00:00,95000,50000,Concrete/ excavation/ brickyard/ door/ electrical/ plumbing
Flat Enterprises Inc dba Alliance Paper & Food Service ,913 W Randolph,Kinzie Industrial Corridor Industrial Corridor,2002-10-01T00:00:00,70405.5,34884,Facade / Roof / Sign replacement / Window & Door Replacement
La Fiesta Mexican Restaurant,3333 W 111th,111th/Kedzie,2002-10-01T00:00:00,97974.19,45496.44,Interior Rehab / Awning / Tuckpoint-Masonry / Electrical Rehab.
Copernicus Foundation,5216 W Lawrence,Jefferson Park ,2003-01-01T00:00:00,100000,50000,renovations
Gleason & Shreffler ,4653 N Milwaukee,Jefferson Park ,2003-03-14T00:00:00,100000,50000,HVAC / Interior Rehab / Facade Renovation
The Wooden Spoon,5047 N Clark,Clark/Montrose,2003-04-24T00:00:00,100000,50000,Facade / Roof / HVAC / Tuckpoint
AA US Carpet,4651 N Milwaukee,Jefferson Park ,2003-05-28T00:00:00,75000,24486.68,Tuckpoint-Masonry / Electrical Rehab / Interior Renovation / Roof Renovation / Window and Door Replacement
Bernacki & Associates Inc,424 N Oakley Blvd,Kinzie Industrial Corridor Industrial Corridor,2003-05-30T00:00:00,84802,42401,Sidewalk Improvements / Facade / Lintels / HVAC / Electrical / Roof / Interior Buildout
La Donna ,5146 N Clark,Clark/Montrose,2003-05-30T00:00:00,100000,50000,Facade / Landscaping-Fence / Interior /
Cotton Goods Mfg Co,259 N California,Kinzie Industrial Corridor Industrial Corridor,2003-08-11T00:00:00,93210,39272,"Replace Roof, Windows/ Tuckpointing/ Brickwork/ Possible parking lot + HVAC"
MRD Associates Inc,1420 W Hubbard,Kinzie Industrial Corridor Industrial Corridor,2003-09-22T00:00:00,135000,50000,"Facade/Signs, aumins, roof, HVAC, Evn. Remediation/ Storage rack/ public way exterior enhancement"
Liberty Fastener Company ,2950 W Chicago,Kinzie Industrial Corridor Industrial Corridor,2003-10-01T00:00:00,100000,50000,Window Replacement
Cutrone Hair LLC,3118 W 111th ,111th/Kedzie,2003-10-20T00:00:00,200000,50000,Floor / Windows / Doors / Signage / Tuckpoint
Information Technical Institute ,4414 N Clark,Clark/Montrose,2004-02-03T00:00:00,68000,34726.06,Signage / Roof / HVAC
Kinzie Industrial Corridor Industrial Development,2033 W Fulton,Kinzie Industrial Corridor Industrial Corridor,2004-02-04T00:00:00,100000,50000,Windows
State Farm Insurance ,4465 N Milwaukee,Jefferson Park ,2004-02-24T00:00:00,10000,4275,Sign
The Windsor Tavern,4530 N Milwaukee,Jefferson Park ,2004-03-02T00:00:00,53073,26536.5,Facade Renovation / Window and Door Replacement /
Rangel Rangel & Associates,2332 N Milwaukee,Fullerton/Milwaukee,2004-03-17T00:00:00,186000,50000,Interior Renovation / Extrerior Renovation / Tuckpoint / Roof / Systems
Golden Foods,1036 N Kilbourn,Northwest Industrial Corridor,2006-10-18T00:00:00,39315,19500,Tuckpointing / Windows / Skilights / Freezer / HVAC
Golden Foods,1036 N Kilbourn,Northwest Industrial Corridor,2004-04-06T00:00:00,60685,30342.5,Tuckpointing / Windows / Skilights / Freezer / HVAC
Paris Drapery,2846 N Milwaukee,Fullerton/Milwaukee,2004-04-06T00:00:00,28580,21435,Roof
Congress Theatre,2135 N Milwaukee,Fullerton/Milwaukee,2004-04-07T00:00:00,88484,50000,Heating System electrical improvements on stage
Pastorelli Food Products Inc ,162 N Sangamon,Kinzie Industrial Corridor Industrial Corridor,2004-04-15T00:00:00,234000,50000,Loading ramps/ overhead doors/ relocate entrance
RPN Sales,4451 N Milwaukee,Jefferson Park ,2004-05-10T00:00:00,120000,50000,Interior Renovations
Exotic Creations Inc ,4645-4647 N Clark,Clark/Montrose,2004-05-13T00:00:00,8120,4060,Interior / Facade / HVAC
NJ Hot Dog Stand,745 S Kedzie,Midwest,2004-05-17T00:00:00,89200,44600,Complete REHAB
Northwest Crankshaft Inc,4714 Walton,Northwest Industrial Corridor,2004-05-17T00:00:00,20350.2,10175.1,"Overhead door, exterior concrete work"
Mike O'Malley,5159 W Fullerton,Belmont/Central,2004-05-24T00:00:00,23215,11607.5,"Parking Lot, Tuckpoint"
Ziggy Kruczalak,5507 W Belmont,Belmont/Central,2004-05-24T00:00:00,58900,44175,Windows / Doors / Facade
Franklin's Restaurant,4767 N Lincoln,Western Ave North,2004-06-08T00:00:00,700000,50000,"Complete Renovation, for new restaurant"
George Salinas Galaxy,4252 N Milwaukee,Portage Park,2004-06-22T00:00:00,95000,49116.65,"Interior Renovations, Flooring, Dry wall, Windows, Store Front"
Herbert Brusso,4131 N Western,Western Ave South,2004-08-02T00:00:00,8335,6251.25,Paving / Awnings / Cement
Anthony Zarcone Tastee Freeze,2815 W Armitage,Fullerton/Milwaukee,2004-08-03T00:00:00,14278,10708.5,Interior Renovations
West End Auto Sales,125 N Cicero,Madison/Austin Corridor,2004-08-05T00:00:00,30000,15000,Lighting / Signage / Office Renovations / paving / Black top / Fence Work
Krzysztof Dental ,6033 W Belmont,Belmont/Central,2004-08-18T00:00:00,8100,4050,Parking Lot / HVAC / Front Door
Madison Pine Dental Clinic,5470 W Madison,Madison/Austin Corridor,2004-08-18T00:00:00,21652.44,10826.22,"Facade, flooring, renovations"
Michael Filmowicz,4806 N Milwaukee,Jefferson Park ,2004-09-07T00:00:00,400000,50000,Complete renovation - Floor 1 + 2
AAA Metal Finishers,2904 W Armitage,Fullerton/Milwaukee,2004-09-14T00:00:00,6507.75,4880.81,windows
Am Sewing Dynamics,4534 W North,Northwest Industrial Corridor,2004-09-14T00:00:00,97000,50000,Facade improvements / parking / sidewalks / Interior Renovations
Cambodian Assoc Of IL,2831 W Lawrence,Western Ave North,2004-09-14T00:00:00,105820,50000,Interior and exterior renovations
State Farm Insurance ,4465 N Milwaukee,Jefferson Park ,2004-09-14T00:00:00,9980,4990,Sign
Ritchie's Restaurant,3119-3123 W 111th,111th/Kedzie,2004-09-16T00:00:00,130000,50000,New Facade / Doors / Windows / Hardwood floors / HVAC / ADA Restrooms
Friendship Chinese Restaurant,2830 N Milwaukee,Fullerton/Milwaukee,2004-09-27T00:00:00,41738,20869,HVAC / Roofing / Signage / Canopy / Electrical / Flooring / Bathrooms / Kitchen Equipment
Ken Sakamoto DDS PC,3939 N Lincoln,Western Ave South,2004-09-27T00:00:00,24786.88,12393.44,"Floor, structural"
Mike O'Malley,5159 W Fullerton,Belmont/Central,2004-09-27T00:00:00,31900,15950,"Rehab Exterior, Landscaping"
T & J Plumbing Inc,5251 W Belmont,Belmont/Central,2004-09-27T00:00:00,37804,18902,Roof / Window Replacement
P Jerome Jakubco,2224 W Irving Park,Western Ave South,2004-10-07T00:00:00,14034.06,7017.03,Storefronts Awnings
TNT Vending,3120 W 111th ,111th/Kedzie,2004-10-07T00:00:00,53395,35355.28,Complete Renovation
Northbrook Partners,2522 W Armitage,Fullerton/Milwaukee,2004-10-22T00:00:00,120000,50000,windows
Custom Built Construction Inc,3046 W Armitage,Fullerton/Milwaukee,2004-10-25T00:00:00,103750,50000,Building Renovation
B&G Painting & Dec,4159 N Western,Western Ave South,2004-11-02T00:00:00,42256,21218,"windows, hvac, storefront"
Hot Spot on Armitage,2824 W Armitage,Fullerton/Milwaukee,2004-11-02T00:00:00,120000,50000,Interior and Exterior Renovations for a new retaurant
Jeune Nazon,1750 E 87th ,Stony Island Avenue Commercial and Burnside Industrial Corridors,2004-11-02T00:00:00,47422.47,35566.85,"Parking, interior, exterior, HVAC, Roof, storefront"
West End Auto Sales,125 N Cicero,Madison/Austin Corridor,2004-11-10T00:00:00,29313,14656.5,Lighting / Signage / Office Renovations / paving / Black top / Fence Work
Armitage Ave LLC,2557 W Armitage,Fullerton/Milwaukee,2004-12-17T00:00:00,27500,14513.4,Exterior Work
Xotic Tan,3129 W Armitage,Fullerton/Milwaukee,2004-12-17T00:00:00,118000,28892.5,Floors / Electrical / Bathroom / HVAC / Signage
Brooks Bros Services I,4231 W Madison,Madison/Austin Corridor,2004-12-21T00:00:00,162000,50000,"Adjacent Property Purchase, Facade, Electrical, HVAC, ROOF, Floors"
Capitol Carton Co ,1917 W Walnut,Kinzie Industrial Corridor Industrial Corridor,2004-12-21T00:00:00,60425,30212.5,Roof /
Friendship Chinese Restaurant,2830 N Milwaukee,Fullerton/Milwaukee,2004-12-23T00:00:00,58262,29131,HVAC / Roofing / Signage / Canopy / Electrical / Flooring / Bathrooms / Kitchen Equipment
Ted Barabas,4451 W Kinzie Industrial Corridor,Northwest Industrial Corridor,2004-12-28T00:00:00,100000,50000,adjacent property acquisition
The Windsor Tavern,4530 N Milwaukee,Jefferson Park ,2004-12-28T00:00:00,50000,21712.23,Kitchen Renovations
Ann Ristic,4526 N Milwaukee,Jefferson Park ,2005-01-14T00:00:00,64629,32314.5,Renovations
Mastercraft Metal Spinning,4141 W Kinzie Industrial Corridor,Northwest Industrial Corridor,2005-01-14T00:00:00,27480,13740,"Roof, Gutter, Front door"
Katerina's,1920 W Irving Park,Western Ave South,2005-01-21T00:00:00,30068,22551,"HVAC, WINDOWS, Parking, fence"
The Hair Shop & Spa,4211 W Madison,Madison/Austin Corridor,2005-01-21T00:00:00,75151.63,50000,Roof / Masonry / Storefront / Signage / HVAC / Floors / Doors
Anne Gallagher,3055 W Armitage,Fullerton/Milwaukee,2005-02-10T00:00:00,130000,50000,2nd Floor Renovations / Roofwork
B&G Painting & Dec,4159 N Western,Western Ave South,2005-03-10T00:00:00,26877.81,13438.91,"windows, hvac, storefront (addition)"
Herbert Brusso,4131 N Western,Western Ave South,2005-03-17T00:00:00,14005,10503.75,Interior Buidout
Jeune Nazon,1750 E 87th ,Stony Island Avenue Commercial and Burnside Industrial Corridors,2005-03-17T00:00:00,30000,14433.15,"Parking, interior, exterior, HVAC, Roof, storefront"
Xotic Tan,3129 W Armitage,Fullerton/Milwaukee,2005-03-17T00:00:00,60215,21107.5,Floors / Electrical / Bathroom / HVAC / Signage
Mike O'Malley,5159 W Fullerton,Belmont/Central,2005-04-13T00:00:00,10000,5000,HVAC
Production Craft Inc ,1437 W Grand,Kinzie Industrial Corridor Industrial Corridor,2005-04-13T00:00:00,43923.16,21961.58,Tuckpointing / Plumbing / Sidewalk / Fencing// Possible Purchase of New Building
Dance Academy,2725 S Division,Humboldt Park,2005-04-22T00:00:00,24200,18150,"Floor, office buildout"
Tony Cristofano,5401-5407 W Belmont,Belmont/Central,2005-04-22T00:00:00,30084.68,15042.34,Roof / Facade / ADA Door / HVAC
Chicago Kalbi Restaurant,3752 W Lawrence,Lawrence/Kedzie,2005-05-13T00:00:00,22975,11487.5,"Lintels, Brick"
LaShaun Dumas,721 S Kedzie,Midwest,2005-05-16T00:00:00,100000,50000,Total Rehab
Kelly's Banquet Hall ,810 S Tripp,Midwest,2005-05-23T00:00:00,100000,50000,Complete Renovations
1800 W Lake LLC,1800 W Lake,Kinzie Industrial Corridor Industrial Corridor,2005-06-13T00:00:00,105000,50000,parking lot paving
Antonio Miceli,2123 W Irving Park,Western Ave South,2005-06-13T00:00:00,70788,35394,Storefront and Windows
Wheelwright Inc,3424 W 111th,111th/Kedzie,2005-06-22T00:00:00,5150,2575,HVAC
MacDaddy Salon ,1035 W Lake,Kinzie Industrial Corridor Industrial Corridor,2005-06-28T00:00:00,101842.98,50000,"plumbing, electrical, floors, walls, HVAC"
Northwest Paper Co Joe,5419 W Patterson,Portage Park,2005-07-06T00:00:00,62747.6,31373.8,Roof
L & P Provisions ,1301 W Lake,Kinzie Industrial Corridor Industrial Corridor,2005-07-28T00:00:00,83604,41802,roof
Anna Maria Pasteria,4400 N Clark,Clark/Montrose,2005-08-03T00:00:00,100000,50000,Tuckpoint / Exterior / Interior
Nader Salti,1350 W Randolph,Kinzie Industrial Corridor Industrial Corridor,2005-08-04T00:00:00,61306,30653,"HVAC, Plumbing, Electrical, Sprinkler, Masonary, Concrete, Elevator, Windows, Facade"
IPOL LLC ,1219 W Lake,Kinzie Industrial Corridor Industrial Corridor,2005-08-17T00:00:00,200000,50000,"purchase adjacent property for parking, iron gate"
Elcanto Shoes ,3748 W Lawrence,Lawrence/Kedzie,2005-08-19T00:00:00,3000,1500,reduced to rear parking only
Creative Salon 1 Creative ,3946 W 16th,Midwest,2005-08-23T00:00:00,23549.3,17661.98,"Floors, parking, storefront"
