Suburb,Rooms,Price,Date,Bedroom2,Bathroom,BuildingArea,YearBuilt,Regionname
Abbotsford,2,1480000,3/12/2016,2,1,,,Northern Metropolitan
Abbotsford,2,1035000,4/2/2016,2,1,79,1900,Northern Metropolitan
Abbotsford,3,1465000,4/3/2017,3,2,150,1900,Northern Metropolitan
Abbotsford,3,850000,4/3/2017,3,2,,,Northern Metropolitan
Abbotsford,4,1600000,4/6/2016,3,1,142,2014,Northern Metropolitan
Abbotsford,2,941000,7/5/2016,2,1,,,Northern Metropolitan
Abbotsford,3,1876000,7/5/2016,4,2,210,1910,Northern Metropolitan
Abbotsford,2,1636000,8/10/2016,2,1,107,1890,Northern Metropolitan
Abbotsford,1,300000,8/10/2016,1,1,,,Northern Metropolitan
Abbotsford,2,1097000,8/10/2016,3,1,75,1900,Northern Metropolitan
Abbotsford,2,700000,12/11/2016,2,2,,,Northern Metropolitan
Abbotsford,3,1350000,12/11/2016,3,2,190,2005,Northern Metropolitan
Abbotsford,2,750000,12/11/2016,2,2,94,2009,Northern Metropolitan
Abbotsford,2,1172500,13/08/2016,2,1,,,Northern Metropolitan
Abbotsford,1,441000,14/05/2016,1,1,,,Northern Metropolitan
Abbotsford,2,1310000,15/10/2016,2,1,97,1890,Northern Metropolitan
Abbotsford,3,1200000,16/07/2016,3,2,110,1880,Northern Metropolitan
Abbotsford,3,1176500,16/07/2016,2,1,105,1890,Northern Metropolitan
Abbotsford,3,955000,17/09/2016,3,1,,,Northern Metropolitan
Abbotsford,2,890000,17/09/2016,2,1,73,1985,Northern Metropolitan
Abbotsford,4,1330000,18/03/2017,4,2,135,1900,Northern Metropolitan
Abbotsford,3,900000,18/03/2017,3,2,,2010,Northern Metropolitan
Abbotsford,3,1090000,18/03/2017,3,2,27,,Northern Metropolitan
Abbotsford,2,500000,18/06/2016,2,1,60,1970,Northern Metropolitan
Abbotsford,2,1100000,18/06/2016,2,2,135,2013,Northern Metropolitan
Abbotsford,2,1315000,19/11/2016,2,1,85,1900,Northern Metropolitan
Abbotsford,1,426000,22/08/2016,1,1,,,Northern Metropolitan
Abbotsford,3,1447500,22/08/2016,3,3,174,2012,Northern Metropolitan
Abbotsford,1,457000,22/08/2016,1,1,50,,Northern Metropolitan
Abbotsford,2,1135000,22/08/2016,2,2,128,1920,Northern Metropolitan
Abbotsford,4,1542000,24/09/2016,4,3,,,Northern Metropolitan
Abbotsford,3,1290000,25/02/2017,3,2,18,,Northern Metropolitan
Abbotsford,3,1290000,25/02/2017,3,1,124,1950,Northern Metropolitan
Abbotsford,1,470000,26/07/2016,1,1,50,2013,Northern Metropolitan
Abbotsford,2,1180000,27/11/2016,2,1,91,1900,Northern Metropolitan
Abbotsford,3,1195000,27/11/2016,3,2,128,1998,Northern Metropolitan
Abbotsford,2,1012500,28/05/2016,2,1,82,1900,Northern Metropolitan
Abbotsford,2,1030000,30/07/2016,2,1,81,1930,Northern Metropolitan
Airport West,3,840000,3/9/2016,3,2,225,2016,Western Metropolitan
Airport West,3,730000,3/12/2016,3,2,145,1965,Western Metropolitan
Airport West,3,770000,4/3/2017,3,2,145,1965,Western Metropolitan
Airport West,2,603000,4/3/2017,2,1,84,1950,Western Metropolitan
Airport West,3,700000,4/3/2017,3,2,134,2009,Western Metropolitan
Airport West,3,600000,4/3/2017,2,1,116,1980,Western Metropolitan
Airport West,2,500000,4/3/2017,2,1,86,2011,Western Metropolitan
Airport West,3,720000,6/8/2016,2,1,,,Western Metropolitan
Airport West,4,785000,6/8/2016,3,1,127,,Western Metropolitan
Airport West,6,725000,7/5/2016,6,3,186,1980,Western Metropolitan
Airport West,2,450000,7/5/2016,2,1,90,2015,Western Metropolitan
Airport West,2,515000,7/11/2016,2,1,73,2013,Western Metropolitan
Airport West,2,530000,10/9/2016,2,1,94,2012,Western Metropolitan
Airport West,3,895000,10/9/2016,3,1,133,1975,Western Metropolitan
Airport West,3,805000,10/12/2016,3,1,105,1950,Western Metropolitan
Airport West,3,752000,11/2/2017,3,1,130,1993,Western Metropolitan
Airport West,2,440000,13/08/2016,2,1,,,Western Metropolitan
Airport West,5,755000,14/05/2016,3,2,,,Western Metropolitan
Airport West,3,700000,15/10/2016,3,2,133,2009,Western Metropolitan
Airport West,3,830000,16/04/2016,3,1,113,1960,Western Metropolitan
Airport West,2,462500,16/07/2016,2,1,,2003,Western Metropolitan
Airport West,3,670000,16/07/2016,3,2,,,Western Metropolitan
Airport West,2,675000,16/07/2016,2,1,100,1975,Western Metropolitan
Airport West,3,1042000,16/07/2016,3,2,174,1950,Western Metropolitan
Airport West,3,910000,17/09/2016,3,1,,,Western Metropolitan
Airport West,4,773000,17/09/2016,5,3,309,1980,Western Metropolitan
Airport West,3,810000,18/03/2017,3,3,192,1980,Western Metropolitan
Airport West,3,715000,18/03/2017,3,2,126,1995,Western Metropolitan
Airport West,3,790000,18/03/2017,3,1,,,Western Metropolitan
Airport West,3,540000,18/06/2016,2,2,101,2010,Western Metropolitan
Airport West,3,825000,19/11/2016,3,2,102,1960,Western Metropolitan
Airport West,3,685000,22/05/2016,3,1,113,1975,Western Metropolitan
Airport West,3,805000,22/08/2016,3,1,,,Western Metropolitan
Airport West,2,510000,22/08/2016,2,1,76,,Western Metropolitan
Airport West,3,612000,22/08/2016,3,2,,,Western Metropolitan
Airport West,3,662000,23/04/2016,3,1,,,Western Metropolitan
Airport West,4,978000,24/09/2016,4,3,,,Western Metropolitan
Airport West,3,720000,25/02/2017,3,1,,,Western Metropolitan
Airport West,4,765000,27/11/2016,4,1,,,Western Metropolitan
Airport West,4,900000,27/11/2016,4,2,146,1975,Western Metropolitan
Albert Park,2,1275000,3/9/2016,2,1,82,1900,Southern Metropolitan
Albert Park,2,1455000,3/9/2016,2,1,,,Southern Metropolitan
Albert Park,3,2850000,4/3/2017,3,2,198,1890,Southern Metropolitan
Albert Park,3,1850000,4/3/2017,3,2,133,1890,Southern Metropolitan
Albert Park,2,1436000,4/3/2017,2,1,81,1900,Southern Metropolitan
Albert Park,2,1110000,6/8/2016,1,1,,1900,Southern Metropolitan
Albert Park,2,1550000,7/5/2016,2,1,,,Southern Metropolitan
Albert Park,4,2300000,7/5/2016,4,2,180,1880,Southern Metropolitan
Albert Park,3,1550000,7/11/2016,3,2,,,Southern Metropolitan
Albert Park,3,1800000,7/11/2016,3,2,159,1996,Southern Metropolitan
