budget,revenue,original_title,genres,release_date,vote_average,release_year
150000000,1513528810,Jurassic World,Action|Adventure|Science Fiction|Thriller,6/9/2015,12.5,2025
150000000,378436354,Mad Max: Fury Road,Action|Adventure|Science Fiction|Thriller,5/13/2015,7.1,2023
110000000,295238201,Insurgent,Adventure|Science Fiction|Thriller,3/18/2015,6.3,2020
200000000,2068178225,Star Wars: The Force Awakens,Action|Adventure|Science Fiction|Fantasy,12/15/2015,12,2019
190000000,1506249360,Furious 7,Action|Crime|Thriller,4/1/2015,7.3,2018
135000000,532950503,The Revenant,Western|Drama|Adventure|Thriller,12/25/2015,7.2,2017
155000000,440603537,Terminator Genisys,Science Fiction|Action|Thriller|Adventure,6/23/2015,11,2016
108000000,595380321,The Martian,Drama|Adventure|Science Fiction,9/30/2015,11.6,2014
74000000,1156730962,Minions,Family|Animation|Adventure|Comedy,6/17/2015,11.9,2023
175000000,853708609,Inside Out,Comedy|Animation|Family,6/9/2015,12.5,2025
245000000,880674609,Spectre,Action|Adventure|Crime,10/26/2015,14.6,2030
176000003,183987723,Jupiter Ascending,Science Fiction|Fantasy|Action|Adventure,2/4/2015,5.2,2015
15000000,36869414,Ex Machina,Drama|Science Fiction,1/21/2015,7.6,2015
88000000,243637091,Pixels,Action|Comedy|Science Fiction,7/16/2015,5.8,2015
280000000,1405035767,Avengers: Age of Ultron,Action|Adventure|Science Fiction,4/22/2015,7.4,2015
44000000,155760117,The Hateful Eight,Crime|Drama|Mystery|Western,12/25/2015,7.4,2015
48000000,325771424,Taken 3,Crime|Action|Thriller,1/1/2015,6.1,2015
130000000,518602163,Ant-Man,Science Fiction|Action|Adventure,7/14/2015,7,2015
95000000,542351353,Cinderella,Romance|Fantasy|Family|Drama,3/12/2015,6.8,2015
,,,,,,
,,,,,,
,,,,,,
