id,state
0,California
1,Cali
2,Calefornia
3,Calefornie
4,Californie
5,Calfornia
6,Calefernia
7,New York
8,New York City 
9,California
10,Cali
11,Calefornia
12,Calefornie
13,Californie
14,Calfornia
15,Calefernia
16,New York
17,New York City 
18,California
19,Cali
20,Calefornia
21,Calefornie
22,Californie
23,Calfornia
24,Calefernia
25,New York
26,New York City 
27,California
28,Cali
29,Calefornia
30,Calefornie
31,Californie
32,Calfornia
33,Calefernia
34,New York
35,New York City 
36,Calefernia
37,New York
38,New York City 
39,California
40,Cali
41,Calefornia
42,Calefornie
43,Californie
44,Calfornia
45,Calefernia
46,Californie
47,Calfornia
48,Calefernia
49,New York
50,New York City 
